_id,user_id,created_at,followers_count,friends_count,protected,location,verified,listed_count,favourites_count,statuses_count,default_profile,default_profile_picture,bot
jeorkov,4886794823,Mon Feb 08 04:45:37 +0000 2016,36,3,0,0,0,0,2,8462,0,0,1
GoodDogsOfNYC,923966671827755008,Fri Oct 27 17:36:35 +0000 2017,56,2,0,1,0,1,1,9421,1,0,1
bot_de_colores,903770442573512704,Sat Sep 02 00:03:59 +0000 2017,9109,7,0,1,0,1,478,39977,0,0,1
hypno__bot,963881800283107328,Wed Feb 14 21:05:04 +0000 2018,31,2,0,0,0,0,0,4003,0,0,1
everyherd_bot,1010932644765454337,Sun Jun 24 17:08:19 +0000 2018,14,1,0,1,0,1,0,6400,1,0,1
AppraisalBot,926650951129292800,Sat Nov 04 03:22:57 +0000 2017,14,8,0,0,0,0,4,345,0,0,1
anywizard,849066759047000065,Tue Apr 04 01:11:05 +0000 2017,257,4,0,1,0,1,111,3690,0,0,1
ceasedesistbot,3187370910,Thu May 07 07:37:11 +0000 2015,240,227,0,0,0,0,1,3444,0,0,1
Abolish_ICE_Now,1010309972918349824,Fri Jun 22 23:54:02 +0000 2018,1760,0,0,1,0,1,0,581,0,0,1
No_hay_bot,1020733774580117504,Sat Jul 21 18:14:31 +0000 2018,1,2,0,1,0,1,3,2543,0,0,1
_blackobs,4825633672,Mon Jan 18 22:22:59 +0000 2016,115,0,0,0,0,0,0,9882,0,0,1
ReyloConfused,878768990167945218,Sun Jun 25 00:17:08 +0000 2017,25,0,0,0,0,0,0,8460,0,0,1
xislikeay,3103172267,Sat Mar 21 23:56:19 +0000 2015,26,3,0,0,0,0,0,215353,1,0,1
Trumpgone,810665807642587140,Mon Dec 19 01:59:24 +0000 2016,419,3,0,0,0,0,1,754,1,0,1
three_shape_bot,890575495368232960,Thu Jul 27 14:11:58 +0000 2017,9,0,0,1,0,1,1,5624,1,0,1
among_stars_,1060317244566237184,Wed Nov 07 23:45:05 +0000 2018,141,24,0,1,0,1,6,1076,0,0,1
pleading_bot,4350824652,Wed Nov 25 01:45:55 +0000 2015,53,10,0,0,0,0,12,30813,1,0,1
lovebotcraft,878028362589118464,Thu Jun 22 23:14:09 +0000 2017,89,2,0,1,0,1,22,8537,0,0,1
trump_chemistry,832336939596578819,Thu Feb 16 21:12:45 +0000 2017,5,0,0,0,0,0,0,6685,1,0,1
censusAmericans,3327104705,Mon Jun 15 14:44:07 +0000 2015,11553,0,0,0,0,0,0,33101,0,0,1
osspbot,832633493427326976,Fri Feb 17 16:51:09 +0000 2017,121,264,0,0,0,0,136,7415,0,0,1
dailysicp,1014146545640300544,Tue Jul 03 13:59:13 +0000 2018,63,0,0,1,0,1,9,241,1,0,1
ObamaLivesOn,831720146091716608,Wed Feb 15 04:21:50 +0000 2017,2060,8,0,1,0,1,0,3540,1,0,1
fake2pmfics,765071132093403137,Mon Aug 15 06:22:27 +0000 2016,80,5,0,1,0,1,813,20463,0,0,1
Mgk8BallBot,2339779142,Wed Feb 12 05:09:01 +0000 2014,11,0,0,0,0,0,1,3073,0,0,1
Open_Brother,810128712356298752,Sat Dec 17 14:25:11 +0000 2016,11,1,0,1,0,1,0,21498,1,0,1
RebottaSugar,861970097010860032,Tue May 09 15:44:20 +0000 2017,9,3,0,1,0,1,0,18069,0,0,1
unicode_garden,3254373616,Thu May 14 17:32:50 +0000 2015,3177,1,0,0,0,0,0,11681,0,0,1
emoji_dna,999622983424598016,Thu May 24 12:07:46 +0000 2018,13,2,0,0,0,0,0,17828,1,0,1
favibot,1965044298,Wed Oct 16 16:15:35 +0000 2013,338,1,0,0,0,0,0,13773,0,0,1
EveryFeature,897420104933277696,Tue Aug 15 11:30:01 +0000 2017,39,15,0,0,0,0,15,14006,0,0,1
SatelliteEurope,3747663856,Wed Sep 23 08:34:24 +0000 2015,43,0,0,0,0,0,1,44386,0,0,1
wait4swear,824087954863685632,Wed Jan 25 02:54:14 +0000 2017,30,4,0,1,0,1,6,38659,0,0,1
nyt_diff,763099930487615488,Tue Aug 09 19:49:35 +0000 2016,17861,0,0,0,0,0,0,44123,1,0,1
happyautomata,1005667025862049792,Sun Jun 10 04:24:38 +0000 2018,1127,0,0,0,0,0,0,657,0,0,1
cientistas_bot,836240683811778560,Mon Feb 27 15:44:50 +0000 2017,595,9,0,0,0,0,7,19777,1,0,1
wikitimelines,1012531485096591361,Fri Jun 29 03:01:32 +0000 2018,161,0,0,0,0,0,0,321,0,0,1
Cypher_B0t,1069376294633250819,Sun Dec 02 23:42:31 +0000 2018,4,10,0,1,0,1,11,2254,1,0,1
intensificator,2536621626,Sat May 31 05:05:44 +0000 2014,2189,3061,0,0,0,0,18,17837,1,0,1
botmakingart,881194824346607616,Sat Jul 01 16:56:32 +0000 2017,20,0,0,0,0,0,5,5265,1,0,1
10printbot,913064403989417985,Wed Sep 27 15:34:52 +0000 2017,7,2,0,1,0,1,45,591797,0,0,1
Vox304,992461966378708992,Fri May 04 17:52:26 +0000 2018,44,0,0,1,0,1,1,161,1,0,1
HalloSpacebot,813103403358265344,Sun Dec 25 19:25:32 +0000 2016,26,1,0,1,0,1,9,3441,0,0,1
ghostbusters_84,1039245931634479106,Mon Sep 10 20:15:13 +0000 2018,24,0,0,1,0,1,2,23872,1,0,1
Introspectorbot,859938636271321088,Thu May 04 01:12:02 +0000 2017,4,2,0,0,0,0,0,18209,0,1,1
GitWishes,931192872283590656,Thu Nov 16 16:10:56 +0000 2017,57,1,0,1,0,1,0,1549,0,0,1
EmojiWeatherCA,1028578680187052032,Sun Aug 12 09:47:22 +0000 2018,1407,9,0,1,0,1,54,1598,0,0,1
soamazingquote,3041192247,Mon Feb 16 18:47:23 +0000 2015,574,0,0,0,0,0,1,4423,1,0,1
himawari8bot,4040207472,Tue Oct 27 23:06:22 +0000 2015,4869,3,0,1,0,1,9,11243,0,0,1
KeplerBot,3020652335,Thu Feb 05 22:52:27 +0000 2015,197,52,0,1,0,1,13,18081,0,0,1
relativeprices,970592745415938048,Mon Mar 05 09:31:58 +0000 2018,20,1,0,0,0,0,1,2346,1,0,1
tiny_raindrops_,932610451283890177,Mon Nov 20 14:03:53 +0000 2017,49,23,0,0,0,0,12,4376,0,0,1
BodegaBot,908722710359949312,Fri Sep 15 16:02:32 +0000 2017,1101,0,0,0,0,0,0,14961,1,0,1
FoodieMenuBot,841355108696915968,Mon Mar 13 18:27:44 +0000 2017,62,3,0,1,0,1,1,3299,0,0,1
imgfkr,729104184344227840,Sun May 08 00:22:38 +0000 2016,620,0,0,0,0,0,0,42010,0,0,1
deshumani,4139038819,Thu Nov 05 21:17:35 +0000 2015,48,0,0,0,0,0,1,56622,0,0,1
thetinygallery,4871943514,Tue Feb 02 14:55:02 +0000 2016,9283,1,0,0,0,0,0,4855,1,0,1
mauritscorneIis,991088619774504960,Mon Apr 30 22:55:15 +0000 2018,4,1,0,0,0,0,0,1006,1,0,1
paintnumbersbot,892140208476606464,Mon Jul 31 21:49:35 +0000 2017,134,7,0,0,0,0,28,5851,0,0,1
AdvSettings_,4891902315,Tue Feb 09 13:50:19 +0000 2016,33,0,0,0,0,0,0,28977,1,0,1
catsnacks,3165863036,Mon Apr 20 19:05:52 +0000 2015,77,1,0,0,0,0,0,27038,0,0,1
ProcPlanets,896063275921793024,Fri Aug 11 17:38:27 +0000 2017,898,17,0,1,0,1,0,3307,0,0,1
BikePortOfLABot,873758018550218752,Sun Jun 11 04:25:20 +0000 2017,11,45,0,1,0,1,8,1972,0,0,1
HeroGraveyard,795588015427125248,Mon Nov 07 11:25:38 +0000 2016,18,0,0,0,0,0,2,878,1,0,1
ATBrokenNews,3176656468,Fri Apr 17 13:01:42 +0000 2015,435,0,0,1,0,1,0,28404,0,0,1
ForTheRecordBot,3302891944,Fri May 29 14:18:19 +0000 2015,35,7,0,0,0,0,118,767,0,0,1
UnlikelyPowers,4733801655,Thu Jan 07 11:01:09 +0000 2016,256,1,0,0,0,0,8,9963,1,0,1
FakeHQ,914959961414873090,Mon Oct 02 21:07:08 +0000 2017,8,1,0,0,0,0,0,2656,0,0,1
TinyProtests,838385078044672001,Sun Mar 05 13:45:53 +0000 2017,155,23,0,1,0,1,11,6039,0,0,1
bitsofpluto,3769438815,Fri Sep 25 09:12:19 +0000 2015,15541,59,0,1,0,1,45,4886,0,0,1
Gobbobot,868253384977121281,Fri May 26 23:51:53 +0000 2017,226,3,0,1,0,1,98,17486,0,0,1
PlanMyDayBot,1113425507624919040,Wed Apr 03 12:58:22 +0000 2019,18,2,0,0,0,0,0,105,1,0,1
kiddieridesbk,737840777963917312,Wed Jun 01 02:58:44 +0000 2016,31,0,0,1,0,1,1,3812,0,0,1
soqbot,896423746617135105,Sat Aug 12 17:30:50 +0000 2017,19,1,0,1,0,1,2,9092,0,0,1
grow_slow,717519847928803328,Wed Apr 06 01:10:37 +0000 2016,2174,0,0,1,0,1,47,1074,0,0,1
whatshouldiknit,4190852728,Sun Nov 15 02:33:42 +0000 2015,763,390,0,1,0,1,67,31079,0,0,1
TrigonometryBot,826653423076470785,Wed Feb 01 04:48:29 +0000 2017,446,1018,0,0,0,0,2186,33063,0,0,1
neuralgae,4371859758,Fri Nov 27 00:13:05 +0000 2015,54,1,0,1,0,1,0,7164,0,0,1
anthrobotica,875778680563400704,Fri Jun 16 18:14:43 +0000 2017,21,3,0,0,0,0,0,5557,0,0,1
tiny_star_field,2607163646,Sun Jul 06 09:21:05 +0000 2014,134712,4876,0,0,0,0,363,14399,0,0,1
doorsateight,732736395891118083,Wed May 18 00:55:45 +0000 2016,87,2,0,0,0,0,3221,3861,1,0,1
_AARON_bot,988281821774336002,Mon Apr 23 05:02:02 +0000 2018,108,0,0,1,0,1,253,398,0,0,1
southpoleviews,1002185173847498752,Thu May 31 13:48:59 +0000 2018,85,2,0,1,0,1,0,4246,0,0,1
subtitle_buoy,4208245037,Tue Nov 17 08:05:09 +0000 2015,686,1,0,0,0,0,21,5956,0,0,1
SlowDemoArchive,966460140424712199,Wed Feb 21 23:50:28 +0000 2018,7,1,0,0,0,0,0,1260,1,0,1
EveryVimeoVideo,852571359108624385,Thu Apr 13 17:17:06 +0000 2017,18,0,0,1,0,1,1,18490,1,0,1
uudetsanat,822425915548372993,Fri Jan 20 12:49:53 +0000 2017,333,5,0,1,0,1,2,3443,1,0,1
EmojiAquarium,829095470873997317,Tue Feb 07 22:32:18 +0000 2017,20995,4,0,1,0,1,0,6765,1,0,1
everyonesai,888953536666411009,Sun Jul 23 02:46:53 +0000 2017,5447,3,0,1,0,1,11,5498,1,0,1
AdventureNames,1036049576271081472,Sun Sep 02 00:34:02 +0000 2018,92,1,0,1,0,1,2,5078,1,0,1
NoEmojiForThis,2590168531,Thu Jun 26 19:26:22 +0000 2014,49,1,0,1,0,1,0,20806,1,0,1
Botgle,3299372399,Tue May 26 15:02:31 +0000 2015,2650,3968,0,0,0,0,92379,141273,1,0,1
BackToWorkBot,925409091115147264,Tue Oct 31 17:08:15 +0000 2017,11,0,0,0,0,0,0,25525,1,0,1
HConstellations,1051506601088208896,Sun Oct 14 16:14:44 +0000 2018,27,2,0,1,0,1,0,949,0,0,1
badphotoquality,770391941506891776,Mon Aug 29 22:45:26 +0000 2016,11,0,0,0,0,0,0,23930,1,0,1
bot_teleport,3922351113,Sat Oct 10 22:57:35 +0000 2015,863,0,0,0,0,0,15,13387,0,0,1
Rothko_Bot,863816790857715712,Sun May 14 18:02:26 +0000 2017,805,18,0,1,0,1,0,6488,1,0,1
So_YouBotDetntn,1011651387804061696,Tue Jun 26 16:44:21 +0000 2018,10,0,0,1,0,1,0,2747,1,0,1
tinysightings,818580820797497345,Mon Jan 09 22:10:51 +0000 2017,13,4,0,0,0,0,0,3486,0,0,1
SunsetGenerator,809735730888982531,Fri Dec 16 12:23:37 +0000 2016,32,1,0,0,0,0,0,7158,1,0,1
tinydotblot,833103863007870978,Sun Feb 19 00:00:14 +0000 2017,18144,2,0,0,0,0,0,3739,0,0,1
UC_Poesias_Bot,3906144072,Thu Oct 15 20:11:16 +0000 2015,243,0,0,0,0,0,0,10640,0,0,1
AColourEveryDay,1073980236453343234,Sat Dec 15 16:36:56 +0000 2018,6,0,0,1,0,1,0,175,0,0,1
_sys_bot_,2784894884,Mon Sep 01 23:57:43 +0000 2014,21,0,0,1,0,1,0,250327,1,0,1
FlyFAA_Deicing,1089606226047127552,Sun Jan 27 19:29:02 +0000 2019,32,11,0,1,0,1,0,409,1,0,1
realfestivals,1013226126804701184,Sun Jul 01 01:01:48 +0000 2018,6,7,0,0,0,0,0,1326,0,0,1
dragonhoards,862415838359441409,Wed May 10 21:15:33 +0000 2017,70,0,0,1,0,1,0,5912,0,0,1
FilmRevisionist,928314603376742400,Wed Nov 08 17:33:43 +0000 2017,5,0,0,0,0,0,0,1763,1,0,1
genderposibot,705785693155495937,Fri Mar 04 16:03:17 +0000 2016,2150,1,0,0,0,0,4,56809,0,0,1
JudithBotler,831782664038449152,Wed Feb 15 08:30:15 +0000 2017,483,2,0,1,0,1,0,1723,0,0,1
ShowdownBot,992820451524075520,Sat May 05 17:36:56 +0000 2018,22,2,0,1,0,1,45,3209,0,0,1
autodoyle,3229361280,Fri May 29 04:32:02 +0000 2015,123,2,0,1,0,1,35,37384,0,0,1
OminousZoom,3997848915,Mon Oct 19 23:27:13 +0000 2015,1080,1,0,1,0,1,18,13547,0,0,1
Rene_Damaul,895699896661024770,Thu Aug 10 17:34:31 +0000 2017,112,0,0,1,0,1,0,5249,0,0,1
pico8bot,3818713218,Wed Oct 07 22:27:43 +0000 2015,2554,0,0,1,0,1,13,31796,0,0,1
NtflxGenerator,837053322616008713,Wed Mar 01 21:33:58 +0000 2017,1589,9,0,0,0,0,10,10823,0,0,1
BiffySays,2431021303,Sun Apr 06 21:20:46 +0000 2014,106,10,0,0,0,0,1,8631,0,0,1
WordsofMcCarthy,718569185194868736,Fri Apr 08 22:40:18 +0000 2016,2887,1,0,0,0,0,2581,1352,0,0,1
brandnewplanet,3983629163,Sun Oct 18 01:42:51 +0000 2015,3890,2,0,1,0,1,4,31651,0,0,1
minetweeter_,3301779988,Thu May 28 13:27:00 +0000 2015,28,3,0,0,0,0,14,2853,0,0,1
soundcloudsaid,715214387804372992,Wed Mar 30 16:29:32 +0000 2016,792,4,0,1,0,1,0,8765,0,0,1
CSPANFive,3091735275,Sat Mar 14 19:42:01 +0000 2015,636,1,0,1,0,1,12,4609,0,0,1
spacesh1ps,886439353450364930,Sun Jul 16 04:16:25 +0000 2017,79,22,0,1,0,1,3,1514,0,0,1
100yearsrising,2671843464,Wed Jul 23 04:48:36 +0000 2014,158,0,0,0,0,0,0,102,0,0,1
CatYoncee,982660255489429504,Sat Apr 07 16:43:56 +0000 2018,37,13,0,1,0,1,2,6085,0,0,1
winter_scapes,2928957673,Sat Dec 13 19:37:33 +0000 2014,646,11,0,0,0,0,0,8430,1,0,1
rightnow6music,989135184,Tue Dec 04 16:55:11 +0000 2012,1474,54,0,1,0,1,9,532439,1,0,1
JPEGBot,3332092654,Thu Jun 18 01:58:55 +0000 2015,716,1,0,0,0,0,0,15572,0,0,1
OffbeatRPG,914635608382943233,Sun Oct 01 23:38:16 +0000 2017,82,2,0,0,0,0,1,1218,0,0,1
ScuffleBusiness,879773234199224321,Tue Jun 27 18:47:39 +0000 2017,1258,1,0,1,0,1,5,2123,1,0,1
gf_generator,1089437453075824641,Sun Jan 27 08:18:24 +0000 2019,485,1,0,0,0,0,0,495,0,0,1
BokuWaKinoDesu,923545627291803648,Thu Oct 26 13:43:30 +0000 2017,3,0,0,1,0,1,0,176,1,0,1
choochoobot,708102355477069824,Fri Mar 11 01:28:52 +0000 2016,6571,7,0,1,0,1,95,8396,1,0,1
goTakeThis,962139968662573056,Sat Feb 10 01:43:39 +0000 2018,9,0,0,0,0,0,0,9044,1,0,1
WesAndFilmBot,768982448977747968,Fri Aug 26 01:24:37 +0000 2016,19,0,0,0,0,0,0,8014,0,0,1
cool_cats,946236238608130048,Thu Dec 28 04:27:54 +0000 2017,104,1,0,0,0,0,2,3138,0,0,1
tinyknotwork,821098759073497089,Mon Jan 16 20:56:14 +0000 2017,39,2,0,0,0,0,0,1173,1,0,1
WritersBlockBot,1070411120253521922,Wed Dec 05 20:14:33 +0000 2018,11,0,0,0,0,0,0,1360,0,0,1
moonshotbot,3765991992,Sat Oct 03 04:03:02 +0000 2015,3413,1,0,1,0,1,0,5204,0,0,1
EmojiSnakeGame,993590061894529024,Mon May 07 20:35:05 +0000 2018,2524,4,0,0,0,0,0,10335,1,0,1
poem_exe,2579497028,Sat Jun 21 00:14:06 +0000 2014,20988,29,0,0,0,0,0,21889,0,0,1
cryptword,922707045119279104,Tue Oct 24 06:11:17 +0000 2017,34,0,0,0,0,0,0,1700,1,0,1
ArtConnoisseur_,979332714779291650,Thu Mar 29 12:21:29 +0000 2018,78,2,0,1,0,1,1,2439,1,0,1
onthisdayrobot,1040956752580239360,Sat Sep 15 13:33:24 +0000 2018,45,2,0,0,0,0,6,2097,1,0,1
EffDeeEmmu,1049728241248874496,Tue Oct 09 18:28:10 +0000 2018,13,0,0,1,0,1,0,246,1,0,1
TinyColorPoems,953374918791573505,Tue Jan 16 21:14:28 +0000 2018,20,47,0,1,0,1,29,15624,1,0,1
RestroomGender,3347203689,Sat Jun 27 04:47:30 +0000 2015,3291,8,0,1,0,1,137,2493,0,0,1
twoemojicons,880076428603252737,Wed Jun 28 14:52:26 +0000 2017,10,0,0,1,0,1,0,1391,0,0,1
FinnishFlags,3015093437,Tue Feb 03 19:15:01 +0000 2015,243,46,0,1,0,1,1,82,0,0,1
Whinge_Bot,904674430416244740,Mon Sep 04 11:56:07 +0000 2017,26,8,0,1,0,1,1,15210,1,0,1
emojiMountain,782264299238617088,Sat Oct 01 17:01:57 +0000 2016,26,4,0,1,0,1,830,109386,1,0,1
Cecinestpas_exe,761665579115810816,Fri Aug 05 20:49:59 +0000 2016,20,0,0,0,0,0,0,3960,1,0,1
GlitchLogos,705800166867996672,Fri Mar 04 17:00:47 +0000 2016,3591,1,0,0,0,0,5,4705,1,0,1
Vox_Plus,725896100528295936,Fri Apr 29 03:54:51 +0000 2016,105,0,0,1,0,1,2,2015,0,0,1
cloudplug,2231129701,Thu Dec 05 08:02:52 +0000 2013,70,1,0,1,0,1,12,32880,0,0,1
sunnyday4pm,745349445471047680,Tue Jun 21 20:15:30 +0000 2016,26,0,0,0,0,0,0,1043,0,0,1
wolf_clock,967883106270240770,Sun Feb 25 22:04:49 +0000 2018,5,0,0,0,0,0,0,22174,1,0,1
yayknuckletats,839605704528920576,Wed Mar 08 22:36:13 +0000 2017,1,3,0,0,0,0,0,6507,1,0,1
tweetgameoflife,4798922670,Fri Jan 22 16:51:35 +0000 2016,147,1,0,1,0,1,1,3245,1,0,1
randomlivetext,915170375901818880,Tue Oct 03 11:03:15 +0000 2017,698,2,0,1,0,1,3,6326,0,0,1
PKMNOldMan,957685460435861509,Sun Jan 28 18:43:01 +0000 2018,115,128,0,1,0,1,2384,11880,0,0,1
NPS20180007Bot,871431225029689344,Sun Jun 04 18:19:29 +0000 2017,3,1,0,1,0,1,2,2015,0,0,1
astrove_bot,934575930277748736,Sun Nov 26 00:14:00 +0000 2017,54,2,0,1,0,1,0,2224,1,0,1
sorryenglishbot,1048235437779763203,Fri Oct 05 15:36:18 +0000 2018,5,0,0,1,0,1,0,11637,1,0,1
precure_screens,2822800486,Sat Oct 11 13:35:51 +0000 2014,1788,4,0,0,0,0,0,61062,0,0,1
JeffGoldblumbot,919407758134448128,Sun Oct 15 03:41:06 +0000 2017,51,0,0,1,0,1,0,2370,1,0,1
osalgoritmos,961966497039077376,Fri Feb 09 14:14:20 +0000 2018,287,9,0,0,0,0,12,3809,0,0,1
NiteAlps,3312196192,Sun Jun 07 17:40:43 +0000 2015,668,26,0,0,0,0,6,2890,0,0,1
BikeVeniceBot,873758396452753409,Sun Jun 11 04:26:50 +0000 2017,8,4,0,1,0,1,7,1625,0,0,1
galaxymarcopolo,970509550909566976,Mon Mar 05 04:01:22 +0000 2018,571,1538,0,1,0,1,91,3220,1,0,1
LovecraftMix,878067171653562369,Fri Jun 23 01:48:22 +0000 2017,62,2,0,1,0,1,23,8513,1,0,1
doskvolscores,1016821510751772672,Tue Jul 10 23:08:34 +0000 2018,702,4,0,0,0,0,14,1987,0,0,1
NYChickens,3575042897,Mon Sep 07 08:27:44 +0000 2015,144,50,0,1,0,1,2,1090,0,0,1
PlanetarySurvey,1025809362386862082,Sat Aug 04 18:23:05 +0000 2018,649,0,0,1,0,1,0,324,0,0,1
trashcanlife,2433869952,Tue Apr 08 16:27:35 +0000 2014,1577,0,0,1,0,1,0,8270,0,0,1
HSollewitt,1067943125258256384,Thu Nov 29 00:47:37 +0000 2018,17,10,0,0,0,0,28,876,1,0,1
selfcare_bot,805673251837882369,Mon Dec 05 07:20:46 +0000 2016,8358,0,0,0,0,0,2,21526,0,0,1
IssOverhead,1081270898659864581,Fri Jan 04 19:27:26 +0000 2019,33,1,0,1,0,1,44,484,0,0,1
manpagedujour,3143230134,Tue Apr 07 12:12:24 +0000 2015,1295,4337,0,1,0,1,34,3075,0,0,1
WyWilderness,1053406647417217024,Fri Oct 19 22:04:50 +0000 2018,147,6,0,1,0,1,0,5386,0,0,1
GhostOfBotPast,1031710018855419904,Tue Aug 21 01:10:11 +0000 2018,2,0,0,1,0,1,1,574,1,0,1
arniecommentary,732671482812370944,Tue May 17 20:37:48 +0000 2016,511,19,0,1,0,1,8,2177,0,0,1
lilly_print_bot,903621498375733248,Fri Sep 01 14:12:08 +0000 2017,12,37,0,1,0,1,6,1230,0,0,1
emoji_pizzas,4894033613,Wed Feb 10 04:24:54 +0000 2016,224,0,0,0,0,0,0,9663,1,0,1
Selfdisembowel,1044202538843672576,Mon Sep 24 12:31:00 +0000 2018,11,0,0,0,0,0,1,16,1,0,1
MillennialMurd1,1094087132774305792,Sat Feb 09 04:14:34 +0000 2019,4,0,0,0,0,0,0,462,0,0,1
tiny_cityscapes,4590610654,Thu Dec 24 15:34:03 +0000 2015,6109,1,0,0,0,0,0,5011,1,0,1
findyourreps,922501717823954945,Mon Oct 23 16:35:23 +0000 2017,24,1,0,0,0,0,13,234,1,0,1
wdywam,3016208044,Wed Feb 04 03:29:34 +0000 2015,611,0,0,1,0,1,3,11487,1,0,1
techclothes,897126449307627521,Mon Aug 14 16:03:08 +0000 2017,3,36,0,1,0,1,166,2753,1,1,1
TSRandomised,714293558115586048,Mon Mar 28 03:30:30 +0000 2016,22,1,0,1,0,1,1,27877,1,0,1
HaikuMurakami,3227013130,Fri May 01 21:03:06 +0000 2015,82,0,0,1,0,1,6,8804,0,0,1
boggle_bot,881278603257937920,Sat Jul 01 22:29:27 +0000 2017,3,0,0,0,0,0,0,5503,1,0,1
eatroastbeef,909624431273635843,Mon Sep 18 03:45:39 +0000 2017,36,3,0,1,0,1,125,481,1,0,1
choosetoaccept,1023609035596197888,Sun Jul 29 16:39:46 +0000 2018,62,0,0,0,0,0,0,656,1,0,1
theclivebot,849771126893019136,Wed Apr 05 23:49:59 +0000 2017,374,0,0,1,0,1,0,1344,1,0,1
_numberstation,705120073032269824,Wed Mar 02 19:58:20 +0000 2016,154,1,0,1,0,1,0,56927,0,0,1
mythlibs,804825537671593985,Fri Dec 02 23:12:15 +0000 2016,36,4,0,0,0,0,0,414,0,0,1
PrimitivePic,775870976441589760,Wed Sep 14 01:37:10 +0000 2016,2325,0,0,0,0,0,0,45276,1,0,1
spacetravelbot,705215650986332162,Thu Mar 03 02:18:08 +0000 2016,9954,3,0,1,0,1,5,28374,0,0,1
palette_gen,798196450517651456,Mon Nov 14 16:10:38 +0000 2016,57,1,0,0,0,0,0,3313,0,0,1
EmojiMoodBot,808592198170243072,Tue Dec 13 08:39:37 +0000 2016,65,356,0,1,0,1,5,6016,0,0,1
glossatory,730272558952538112,Wed May 11 05:45:20 +0000 2016,30,1,0,1,0,1,0,7980,0,0,1
SpritesByBitsy,1011253362929651712,Mon Jun 25 14:22:44 +0000 2018,166,1,0,1,0,1,0,8253,0,0,1
everyringfort,849307163982016512,Tue Apr 04 17:06:22 +0000 2017,595,2,0,1,0,1,0,1986,0,0,1
theairplane_bot,978056573284175872,Sun Mar 25 23:50:33 +0000 2018,23,3,0,0,0,0,0,678,0,0,1
HouseHaunters,954379005188296704,Fri Jan 19 15:44:21 +0000 2018,4,0,0,0,0,0,0,3912,1,1,1
newspaperbot,949036672741793793,Thu Jan 04 21:55:49 +0000 2018,189,8,0,1,0,1,5,14599,0,0,1
__birds__,779880044420300800,Sun Sep 25 03:07:47 +0000 2016,702,1,0,1,0,1,0,7866,0,0,1
BotDuCul,967357425660694528,Sat Feb 24 11:15:57 +0000 2018,44392,1,0,1,0,1,6,22075,1,0,1
emocage,709841608733237248,Tue Mar 15 20:40:02 +0000 2016,9,1,0,0,0,0,0,10575,1,0,1
WITCHES_WIZARDS,1019024168984219649,Tue Jul 17 01:01:09 +0000 2018,1036,8,0,1,0,1,188,335,0,0,1
ilovethisbot,774694926135222272,Sat Sep 10 19:43:58 +0000 2016,152,1,0,1,0,1,0,46770,0,0,1
window_scene,1008941459834204161,Tue Jun 19 05:16:04 +0000 2018,11,0,0,0,0,0,0,1393,1,0,1
botsmellslike,732691852319698945,Tue May 17 21:58:45 +0000 2016,30,2,0,1,0,1,1,53225,0,0,1
